account_id,account_name,account_handle,account_verified,page_created_date,account_subscriber_count,account_language_code,account_language,admin_location_code,admin_location,last_onboarding,first_recorded_monetization,last_recorded_monetization,facebook_instant_articles_session_count,facebook_in_stream_ads_session_count,facebook_ads_on_reels_session_count,facebook_content_monetization_session_count
858253667588262,La Calle Donde Tú Vives,LaCalledondeTuVives1,false,2015-07-30,58027,spa,Spanish,GT,Guatemala,2023-04-01,2023-03-31,2025-08-26,0,1,1,0
194748600683502,TV AGUAN HD,TVAguanHD,false,2013-06-22,57983,spa,Spanish,HN,Honduras,2025-07-15,2021-07-07,2025-08-26,0,6,2,0
215138568661278,Fuego 107.7,,false,2015-01-29,57972,spa,Spanish,SV,El Salvador,2024-09-08,2023-10-10,2025-08-26,0,2,0,0
765654683480799,Eliza Pu,ElizaPuOficial,false,2014-10-04,57937,spa,Spanish,GT,Guatemala,2023-12-12,2023-07-09,2025-08-26,0,2,1,0
844647595897856,Bollo Fino Nicaragua,geminabollofino,false,2019-05-27,57619,spa,Spanish,GT,Guatemala,2025-05-10,2022-08-19,2025-08-26,0,4,1,0
108755820473804,Carlos Punto Joven,ALEGRANDOTUVIDA,false,2019-08-06,57355,spa,Spanish,HN,Honduras,2025-07-15,2020-04-30,2025-08-26,0,4,2,0
304914559609687,Notifides,Notifides,false,2012-12-21,57117,spa,Spanish,HN,Honduras,2025-07-15,2020-05-26,2025-08-26,0,4,1,0
218784188193424,Ok Stereo 106.7 FM,OkStereo,false,2011-11-15,56902,spa,Spanish,HN,Honduras,2025-07-15,2019-09-25,2025-08-26,0,24,6,0
174534473007015,Católicos en El Salvador,Católicos en El Salvador,false,2016-11-02,56147,spa,Spanish,SV,El Salvador,2024-05-12,2023-11-13,2025-08-26,0,1,1,0
670368166382001,Clima Sv,,false,2014-06-27,55952,spa,Spanish,SV,El Salvador,2025-04-04,2023-06-05,2025-08-26,0,4,0,0
1326251370825712,Colegio Médico de Honduras,,false,2017-06-11,55140,spa,Spanish,HN,Honduras,2025-07-15,2022-06-02,2025-08-26,0,4,1,0
112328433933731,Boutique Paseo Kotz'i'j,paseokotzij,false,2020-09-05,55059,spa,Spanish,GT,Guatemala,2022-06-17,2022-06-14,2025-08-26,0,1,1,0
108218150677053,Hugo Photography,Wampilin,false,2019-12-16,54925,spa,Spanish,GT,Guatemala,2023-10-03,2020-12-26,2025-08-26,0,3,1,0
1211675938868111,Garden Mall,gardenmallsv,false,2016-12-27,54319,eng,English,SV,El Salvador,2023-12-29,2023-12-29,2025-08-26,0,1,0,0
275756239461767,Prensa Libre Television,PLTELEVISIONCHOLUTECA,false,2016-08-01,53364,spa,Spanish,HN,Honduras,2024-02-27,2020-02-27,2025-08-26,0,10,1,0
101572904896929,Peña De Horeb A/D,Peña De Horeb A/D,false,2020-05-10,53307,spa,Spanish,HN,Honduras,2025-07-15,2023-06-19,2025-08-26,0,3,3,0
328735710987588,Destilando Amor,,false,2018-05-12,53036,por,Portuguese,NI,Nicaragua,2025-07-15,2020-08-09,2025-08-26,0,3,0,0
329761437632425,Herminio Y Wendy 2019,Herminioywendy2020,false,2019-01-22,52901,spa,Spanish,HN,Honduras,2025-04-04,2020-07-21,2025-08-26,0,3,0,0
102011658711412,NiceLatino Animes HD,Animelatinos2021.02,false,2021-04-27,52829,eng,English,GT,Guatemala,2024-10-13,2023-04-16,2025-08-26,0,3,0,0
369537686850892,Trixita TV2,TrixitaTV2,false,2017-11-18,52233,spa,Spanish,GT,Guatemala,2023-10-08,2023-10-08,2025-08-26,0,1,0,0
286366181775176,La Voz de Huehue,lavozdehuehueof,false,2017-05-03,51075,spa,Spanish,GT,Guatemala,2025-07-15,2023-06-29,2025-08-26,0,3,0,0
409889186275951,Show me,memesaletorios,false,2019-06-08,50737,spa,Spanish,NI,Nicaragua,2025-07-15,2020-01-16,2025-08-26,0,4,0,0
111133777332389,Sublimes notas de Devoción,SublimesNotasdeDevocion,false,2020-07-07,50644,spa,Spanish,GT,Guatemala,2025-07-15,2023-06-29,2025-08-26,0,2,0,0
542495492886899,Dios es Amor,DiosEsAmorTv,false,2018-12-29,50534,spa,Spanish,GT,Guatemala,2025-07-15,2022-11-03,2025-08-26,0,3,1,0
116272816732710,Pulgarcito Noticias SV,pulgarcitonoticiassv,false,2020-05-01,50253,spa,Spanish,SV,El Salvador,2025-07-15,2020-06-02,2025-08-26,0,5,0,0
869370166788440,Salomon Health Center,salomonhealthcarecenter,false,2019-04-07,50005,spa,Spanish,GT,Guatemala,2025-07-15,2022-07-08,2025-08-26,0,5,6,0
570200696755190,Patojo                        Gt,PatojoGtt,false,2018-12-06,49811,spa,Spanish,GT,Guatemala,2025-07-15,2023-04-12,2025-08-26,0,0,4,0
13906156893,Frigüey,friguey,true,2008-04-09,49466,spa,Spanish,SV,El Salvador,2025-07-15,2022-10-07,2025-08-26,0,0,3,0
329592323210,Napoleón Robleto,oficialnapo,false,2010-02-26,48460,spa,Spanish,GT,Guatemala,2024-09-28,2023-04-10,2025-08-26,0,0,2,0
330925224297854,Peluche 23,peluche233,false,2019-02-12,48426,spa,Spanish,GT,Guatemala,2025-07-15,2021-01-02,2025-08-26,0,5,1,0
103228614663812,ASPEK,ASPEKGT,false,2020-03-25,48121,spa,Spanish,GT,Guatemala,2023-08-29,2023-01-27,2025-08-26,0,0,5,0
741065509383763,Polaris Internacional Honduras,polarisinternacionalhonduras,false,2017-01-19,48067,spa,Spanish,HN,Honduras,2024-05-08,2024-05-08,2025-08-26,0,0,1,0
101115931588651,Kripto,,false,2020-04-23,47905,spa,Spanish,GT,Guatemala,2025-07-15,2020-06-28,2025-08-26,0,3,0,0
164301260376788,Gianni Beat,GianniBeatOfficial,true,2012-10-22,47570,spa,Spanish,SV,El Salvador,2024-04-16,2020-09-04,2025-08-26,0,2,1,0
595823953792671,La Hacienda - Hotel & Steak House,lahacienda.juigalpa,false,2013-10-09,46678,spa,Spanish,NI,Nicaragua,2025-07-15,2023-03-13,2025-08-26,0,4,0,0
850142798711511,Ebal Díaz,EbalDiazHN,true,2019-04-10,46546,spa,Spanish,HN,Honduras,2023-03-10,2020-05-07,2025-08-26,0,2,1,0
1574956846167736,Telesur Canal 33,telesurcanal33,false,2016-05-18,46371,spa,Spanish,HN,Honduras,2024-06-14,2023-07-07,2025-08-26,0,3,0,0
639763282844101,Duque Gol,duquegol,false,2016-05-11,45910,spa,Spanish,GT,Guatemala,2025-07-15,2019-12-26,2025-08-26,0,4,0,0
103144775160507,El Temach,Eltemach69,false,2021-02-21,45822,spa,Spanish,SV,El Salvador,2025-04-06,2022-02-17,2025-08-26,0,3,1,0
2214034992150579,Paz en Cristo,pazencristosud,false,2019-06-24,45410,spa,Spanish,GT,Guatemala,2025-02-25,2020-02-27,2025-08-26,0,4,0,0
537485223276618,Importadora El Amigo,,false,2017-11-20,45135,spa,Spanish,CR,Costa Rica,2025-05-10,2024-05-23,2025-08-26,0,2,0,0
105068224597768,Producciones Mam Tv,Gentecreativacortometrajes,false,2020-06-25,45035,spa,Spanish,GT,Guatemala,2025-07-15,2021-06-27,2025-08-26,0,4,1,0
1615141028583499,Asesoria Legal y Multiservicios LM -Guatemala,InfoLegalGuate,false,2018-06-01,44657,spa,Spanish,GT,Guatemala,2025-01-19,2023-02-28,2025-08-26,0,0,4,0
447182515638395,Mynor Morales,MynorMoralesPetapaOficial,true,2017-06-23,44514,spa,Spanish,GT,Guatemala,2025-07-15,2022-12-24,2025-08-26,0,5,7,0
972592992802715,Coatepeque Impresionante,CoatepequeImpresionante,false,2015-08-15,44391,spa,Spanish,SV,El Salvador,2025-07-15,2022-07-21,2025-08-26,0,6,4,0
368825199962545,Alcaldía La Paz Centro,ALCLaPazCentro,false,2014-12-09,44218,spa,Spanish,SV,El Salvador,2024-07-27,2024-07-27,2025-08-26,0,0,1,0
429257647432995,Arapahoe Te Informa,ArapahoeViejo,false,2017-05-06,44140,spa,Spanish,GT,Guatemala,2024-07-11,2024-07-11,2025-08-26,0,1,0,0
114653305383310,Eventos Premier,EventosPremierOficial,false,2013-02-11,43102,spa,Spanish,SV,El Salvador,2024-04-17,2023-08-23,2025-08-26,0,2,0,0
100597721434044,SIPA Vision Sipacapa SM.,,false,2019-12-03,42916,spa,Spanish,GT,Guatemala,2023-08-28,2022-05-06,2025-08-26,0,2,1,0
518713118332018,Cadencia Juvenil,cadenciajuvenil,false,2016-07-24,42528,spa,Spanish,GT,Guatemala,2025-07-15,2018-11-07,2025-08-26,0,4,1,0
656301078170766,Tío Dan,TioDanOfficial,false,2019-07-06,42209,spa,Spanish,SV,El Salvador,2025-04-20,2022-10-25,2025-08-26,0,5,2,0
106933767465382,Autismo: Aventuras con Caleb Y Benjamin,,false,2019-12-09,41784,spa,Spanish,HN,Honduras,2024-04-03,2022-11-17,2025-08-26,0,3,1,0
390317085087,OhMyGuate,OhMyGuate,false,2010-01-08,41688,spa,Spanish,GT,Guatemala,2025-07-15,2019-03-15,2025-08-26,0,5,1,0
2201032976835933,Angel Dj  El Salvador,angeldjelsalvador1,false,2018-10-24,41572,spa,Spanish,SV,El Salvador,2025-05-21,2019-09-20,2025-08-26,0,2,1,0
1865842180100735,Lesly Valenzuela,LeslyVGT,false,2018-04-03,41259,spa,Spanish,GT,Guatemala,2025-07-15,2021-09-09,2025-08-26,0,4,1,0
108609261562737,Carol Makeup,Carol Makeup,false,2021-09-07,41108,und,Not specified,SV,El Salvador,2023-04-14,2022-02-21,2025-08-26,0,1,2,0
1543261839290637,Canal 20 Corinto,Canal20Corinto,false,2015-03-01,41088,spa,Spanish,SV,El Salvador,2025-07-15,2018-10-20,2025-08-26,0,4,1,0
100952901452221,Levantando Centinelas,soyhijadeDios4,false,2020-01-14,40917,spa,Spanish,GT,Guatemala,2025-06-03,2020-05-23,2025-08-26,0,3,0,0
332168710700490,Sani Producciones,,false,2018-11-24,40887,spa,Spanish,GT,Guatemala,2025-02-25,2023-01-29,2025-08-26,0,11,1,0
856589557793282,Turansatv,turansatv,false,2015-10-27,40872,spa,Spanish,GT,Guatemala,2022-11-15,2019-09-25,2025-08-26,0,3,2,0
1512139965765103,Somos Espartanos,somos.espartanos,false,2015-11-05,40794,spa,Spanish,NI,Nicaragua,2025-05-10,2019-09-25,2025-08-26,0,6,0,0
267859203862227,Chero Salvadoreño,cherosalvadore,false,2018-09-30,40719,spa,Spanish,SV,El Salvador,2025-07-15,2024-05-06,2025-08-26,0,0,2,0
1374969942660446,Extraño El Salvador,elsalvador.recuerdos,false,2019-07-20,39934,spa,Spanish,SV,El Salvador,2024-12-13,2020-06-04,2025-08-26,1,5,1,0
126464427410598,Radio La RR,radiolarr,false,2010-11-05,39724,spa,Spanish,SV,El Salvador,2025-07-15,2023-07-11,2025-08-26,0,5,0,0
112234353669148,U Company,Elparaisoestudiofilms,false,2020-02-01,39501,spa,Spanish,GT,Guatemala,2025-07-15,2023-07-24,2025-08-26,0,3,0,0
100347459422500,FUN TIME,,false,2022-07-10,38918,eng,English,GT,Guatemala,2025-04-06,2023-01-11,2025-08-26,0,3,1,0
376444869182518,RSVTelevision,RSVHONDURAS,false,2014-12-30,38685,spa,Spanish,HN,Honduras,2025-07-15,2023-12-04,2025-08-26,0,4,0,0
100814925027615,Michi2 Tienda,michi2tiendaa,false,2020-06-25,38480,spa,Spanish,CR,Costa Rica,2025-07-15,2022-05-24,2025-08-26,0,6,2,0
105404834880575,Los Pelex,lospelexpodcast,false,2021-01-21,38473,spa,Spanish,GT,Guatemala,2023-01-30,2021-12-03,2025-08-26,0,2,2,0
280117242716695,Radio Latina La Caliente 98.7FM,radiolatina98.7fmhn,false,2018-08-31,38015,spa,Spanish,HN,Honduras,2024-02-25,2024-02-25,2025-08-26,0,1,0,0
1478340772482909,Animé y Mangas,Animeymangasforchute,false,2015-07-26,37884,spa,Spanish,GT,Guatemala,2024-03-29,2023-06-29,2025-08-26,0,2,0,0
147450995291378,Adopciones Chonito,adopcioneschonito,false,2010-10-08,37871,spa,Spanish,CR,Costa Rica,2025-05-10,2023-03-16,2025-08-26,0,3,0,0
114411527943595,Lets Go Viral,,false,2022-05-26,37271,eng,English,HN,Honduras,2025-07-15,2024-03-09,2025-08-26,0,3,0,0
344564026297749,SublimeMeme,SublimeMeme,false,2018-11-03,36963,spa,Spanish,SV,El Salvador,2025-07-15,2020-08-08,2025-08-26,0,3,0,0
101943482610569,Soy de Guate,soydeguate10,false,2022-07-22,36649,eng,English,GT,Guatemala,2025-05-21,2022-10-24,2025-08-26,0,3,1,0
158293257565165,Colegio Centro Cultural de Las Américas,ColegioCentroCulturaldelasAmericas,false,2011-04-07,36487,spa,Spanish,GT,Guatemala,2024-05-29,2024-05-29,2025-08-26,0,0,1,0
204730643635575,Radio Xoyita TV2,RadioJoyabatecaTV,false,2018-03-17,36000,spa,Spanish,GT,Guatemala,2023-04-16,2023-04-16,2025-08-26,0,1,0,0
1690137627735481,Informativo Sonsonate,Pmachuca87,false,2018-05-03,35913,spa,Spanish,SV,El Salvador,2025-07-15,2019-11-17,2025-08-26,0,8,1,0
111016803597138,Recetas Cón Jesús,Jesusconsusrecetas,false,2019-08-21,35302,spa,Spanish,CR,Costa Rica,2025-04-18,2022-01-08,2025-08-26,0,7,3,0
107848567369275,Catholik CIEN,Catholikcien,false,2019-12-06,35140,spa,Spanish,GT,Guatemala,2025-07-15,2023-08-10,2025-08-26,0,3,0,0
261110954536105,Bim Bia Kids,bimbiakids,false,2018-11-09,34461,spa,Spanish,GT,Guatemala,2025-05-10,2023-02-07,2025-08-26,0,2,5,0
476088816237221,El Bus de Fortnite,ElBusDeFortnite,false,2018-10-08,34317,spa,Spanish,SV,El Salvador,2025-07-15,2020-02-11,2025-08-26,0,4,1,0
104795464415308,ElJoven Cristiano,,false,2020-01-27,34233,spa,Spanish,GT,Guatemala,2025-07-15,2020-03-14,2025-08-26,0,4,1,0
108590980619779,Domunditv.Lat,DomunditvLat,false,2019-11-30,33552,spa,Spanish,GT,Guatemala,2023-11-07,2023-07-17,2025-08-26,0,0,2,0
183333135725868,Fútbol GT,Futbollgt,false,2018-03-17,33502,spa,Spanish,GT,Guatemala,2025-07-15,2019-09-25,2025-08-26,0,5,1,0
226905181134973,ElPaís502,elpais502noticias,false,2017-06-01,33124,spa,Spanish,GT,Guatemala,2022-04-08,2020-08-12,2025-08-26,0,1,1,0
1047573775412786,Radio Visión San Miguel Chicaj 93.1 FM,,false,2018-09-07,32981,spa,Spanish,GT,Guatemala,2025-05-21,2021-06-17,2025-08-26,0,5,1,0
960078287359318,VAIZA,myvaiza,true,2015-04-20,32936,spa,Spanish,SV,El Salvador,2024-06-27,2024-06-27,2025-08-26,0,0,1,0
368123896658096,Curiosidades Del Mundo,Mundo1407,false,2013-12-30,32855,spa,Spanish,HN,Honduras,2025-05-21,2023-04-27,2025-08-26,0,2,0,0
110114920535649,La Tusa,LaTusaSv,false,2020-01-23,32589,spa,Spanish,SV,El Salvador,2025-04-06,2020-05-25,2025-08-26,0,5,1,0
1627855920835720,Tribuna TV,tribunatv.us,false,2013-06-18,32368,spa,Spanish,SV,El Salvador,2022-04-08,2019-08-28,2025-08-26,0,3,1,0
1808288889296973,La Sagrada Familia Tv,lasagradafamiliatv,false,2018-06-29,32315,spa,Spanish,NI,Nicaragua,2025-04-18,2021-04-26,2025-08-26,0,4,0,0
223116644917902,Stereo La Voz de San Andres TV,stereolavozdesanandrestv1,false,2018-02-25,32072,spa,Spanish,GT,Guatemala,2025-07-15,2022-02-27,2025-08-26,0,4,2,0
105903174191021,Bemmo GT.,BemmoGT,false,2019-11-05,32042,spa,Spanish,GT,Guatemala,2024-11-21,2022-10-26,2025-08-26,0,0,7,0
1908968115865648,Club Deportivo FAS Femenino,cdfasfemenino,false,2018-11-24,32029,spa,Spanish,SV,El Salvador,2025-07-15,2021-04-21,2025-08-26,0,4,1,0
1020806487930083,Yoga Store CR,yogastorecr,false,2015-07-03,31754,spa,Spanish,CR,Costa Rica,2025-05-10,2023-03-16,2025-08-26,0,3,0,0
107797794724327,Pipo Sv,piposv007,false,2021-03-16,31304,spa,Spanish,SV,El Salvador,2025-07-15,2023-11-13,2025-08-26,0,2,2,0
1714030925490631,Fantasia 2000 HN,fantasia2000hn,false,2015-04-20,31229,spa,Spanish,HN,Honduras,2025-07-15,2020-07-17,2025-08-26,0,3,0,0
1806310399690924,Memes Graciosos,Sr.meme.gt,false,2017-03-19,31190,spa,Spanish,GT,Guatemala,2025-07-15,2020-08-07,2025-08-26,0,3,0,0
1443257965799341,Tio Nayib Recargado,tionayibrecargado,false,2019-06-06,30444,spa,Spanish,SV,El Salvador,2025-06-03,2019-11-11,2025-08-26,0,3,0,0
181048731947409,Elenilson Calderon,EleniilssonCalderon,false,2011-05-03,30090,spa,Spanish,SV,El Salvador,2025-07-15,2021-05-24,2025-08-26,0,3,6,0
121368611233472,MiShalom,mishalom,false,2010-05-31,30044,spa,Spanish,HN,Honduras,2025-07-15,2022-10-16,2025-08-26,0,5,1,0
189316167796774,Grupo Kali.,,false,2011-07-25,30001,spa,Spanish,CR,Costa Rica,2025-07-15,2022-08-21,2025-08-26,0,3,1,0
441089179421752,Odequis Centro Técnico,Academiaodequis,false,2016-01-19,29288,spa,Spanish,GT,Guatemala,2025-05-16,2022-11-08,2025-08-26,0,0,2,0
1519968484911044,Fredy Montejo Arte,freddymontejoarte,false,2014-09-09,29203,spa,Spanish,GT,Guatemala,2022-07-03,2022-06-26,2025-08-26,0,1,1,0
100379028831364,Melissa TV,Melissa TV,false,2021-03-31,28837,und,Not specified,GT,Guatemala,2025-07-15,2022-05-27,2025-08-26,0,3,3,0
1477230479258846,Snyder Palacios,snyderpalaciosg,false,2015-08-03,28786,spa,Spanish,NI,Nicaragua,2025-07-15,2023-02-22,2025-08-26,0,3,1,0
202317520499692,Sr. Sigma,srsigmaofficial,false,2018-04-07,28717,spa,Spanish,HN,Honduras,2024-10-16,2023-08-02,2025-08-26,0,3,0,0
